experiment,tool,dataset,rep,runtime_seconds,runtime_hms,max_memory_kb,max_memory_gb,timestamp,source
performance_backend_runtime,bowtie2,30M_70pct_med_lognormal_SE,1,1089,0:18:09,3387516,3.23,2026-09-04T01:04:57+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,kraken2,30M_70pct_med_lognormal_SE,1,286,0:04:46,5073292,4.84,2026-09-04T01:09:44+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,minimap2,30M_70pct_med_lognormal_SE,1,1861,0:31:01,12846040,12.25,2026-09-04T01:40:47+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,centrifuge,30M_70pct_med_lognormal_SE,1,572,0:09:32,3825692,3.65,2026-09-04T01:50:20+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,bowtie2,30M_90pct_med_lognormal_SE,1,988,0:16:28,3452768,3.29,2026-09-04T01:04:16+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,kraken2,30M_90pct_med_lognormal_SE,1,234,0:03:54,5019768,4.79,2026-09-04T01:08:10+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,minimap2,30M_90pct_med_lognormal_SE,1,1879,0:31:19,12692340,12.10,2026-09-04T01:39:30+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,centrifuge,30M_90pct_med_lognormal_SE,1,468,0:07:48,3480232,3.32,2026-09-04T01:47:19+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,bowtie2,60M_90pct_high_lognormal_SE,1,1804,0:30:04,3540904,3.38,2026-09-04T01:18:57+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,kraken2,60M_90pct_high_lognormal_SE,1,555,0:09:15,7060656,6.73,2026-09-04T01:28:15+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,minimap2,60M_90pct_high_lognormal_SE,1,2827,0:47:07,13151972,12.54,2026-09-04T02:15:22+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,centrifuge,60M_90pct_high_lognormal_SE,1,979,0:16:19,6587868,6.28,2026-09-04T02:31:42+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,bowtie2,60M_99pct_med_lognormal_SE,1,12008,3:20:08,3515340,3.35,2026-09-04T04:09:59+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,kraken2,60M_99pct_med_lognormal_SE,1,705,0:11:45,7039104,6.71,2026-09-04T04:21:45+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,minimap2,60M_99pct_med_lognormal_SE,1,2831,0:47:11,13799816,13.16,2026-09-04T05:08:56+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,centrifuge,60M_99pct_med_lognormal_SE,1,915,0:15:15,6901560,6.58,2026-09-04T05:24:13+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_pe_panel,rustyclean_t2t_only,20M_10pct_med_even_PE,1,632,0:10:32,3652228,3.48,2026-09-03T12:28:34+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
performance_pe_panel,rustyclean_t2t_only,20M_10pct_med_even_PE,2,306,0:05:06,3650024,3.48,2026-09-03T12:33:41+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
performance_pe_panel,rustyclean_t2t_only,20M_10pct_med_even_PE,3,362,0:06:02,3647836,3.48,2026-09-03T12:39:43+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
performance_pe_panel,hostile,20M_10pct_med_even_PE,1,599,0:09:59,3801248,3.63,2026-09-03T12:49:42+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
performance_pe_panel,kneaddata,20M_10pct_med_even_PE,1,888,0:14:48,1185684,1.13,2026-09-03T13:04:31+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
performance_pe_panel,rustyclean_t2t_only,20M_50pct_med_lognormal_PE,1,1009,0:16:49,3708948,3.54,2026-09-03T12:35:38+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
performance_pe_panel,rustyclean_t2t_only,20M_50pct_med_lognormal_PE,2,923,0:15:23,3708732,3.54,2026-09-03T12:51:01+08:00,../t2t_only_pe_panel/metrics/performance_pe_panel.csv
