experiment,tool,dataset,rep,runtime_seconds,runtime_hms,max_memory_kb,max_memory_gb,timestamp,source
rc_auto_skipqc_hostile_metrics,hostile_raw,60M_99pct_med_lognormal_SE,,921.74,0:15:21,3687756,3.52,NA,../../scratch/rc_auto_skipqc_hostile_v2/rc_auto_skipqc_hostile_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,5M_1pct_low_even_SE,,195.02,0:03:15,3584812,3.42,2026-09-03T11:36:25+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,5M_1pct_low_even_SE,,193.23,0:03:13,1145692,1.09,2026-09-03T11:39:39+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,5M_5pct_low_even_SE,,190.42,0:03:10,3586704,3.42,2026-09-03T11:36:21+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,5M_5pct_low_even_SE,,206.89,0:03:26,1149704,1.10,2026-09-03T11:39:48+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,10M_10pct_med_even_SE,,285.06,0:04:45,3587212,3.42,2026-09-03T11:37:59+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,10M_10pct_med_even_SE,,489.55,0:08:09,1148324,1.10,2026-09-03T11:46:09+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,30M_50pct_high_skewed_SE,,547.81,0:09:07,5048148,4.81,2026-09-03T11:42:18+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,30M_50pct_high_skewed_SE,,2418.61,0:40:18,1154872,1.10,2026-09-03T12:22:37+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,30M_70pct_med_lognormal_SE,,699.39,0:11:39,5042844,4.81,2026-09-03T11:44:50+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,30M_70pct_med_lognormal_SE,,2284.50,0:38:04,1150352,1.10,2026-09-03T12:22:54+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,30M_90pct_med_lognormal_SE,,566.09,0:09:26,5042580,4.81,2026-09-03T11:47:37+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,30M_90pct_med_lognormal_SE,,3271.88,0:54:31,1148964,1.10,2026-09-03T12:42:09+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,60M_90pct_high_lognormal_SE,,1045.32,0:17:25,7040044,6.71,2026-09-03T11:57:36+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,60M_90pct_high_lognormal_SE,,6894,1:54:54,1152172,1.10,2026-09-03T13:52:31+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,rustyclean_auto,60M_99pct_med_lognormal_SE,,955.81,0:15:55,6984580,6.66,2026-09-03T11:56:07+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
auto_vs_kneaddata_metrics,kneaddata,60M_99pct_med_lognormal_SE,,8217,2:16:57,1160448,1.11,2026-09-03T14:13:05+08:00,../../scratch/auto_vs_kneaddata/auto_vs_kneaddata_metrics.csv
