arm,workers,threads,cpus,n_samples,n_failed,wall_seconds,user_seconds,sys_seconds,cgroup_cpu_seconds,cpu_efficiency,cpu_efficiency_gnutime,samples_per_hour,peak_rss_kb,peak_anon_kb,peak_cgroup_kb,baseline_anon_kb,runtime_seconds,max_memory_kb,node,node_state,timestamp
kneaddata,4,2,8,4,0,662.40,83.78,15.25,4342.13,0.8194,0.0187,21.74,1120224,14300340,23119356,1888,662.40,14300340,GPA-1-3,exclusive,2026-09-07T14:31:55+08:00
rustyclean_batch,4,2,8,4,0,274.23,1371.38,44.60,1417.78,0.6463,0.6454,52.51,3586892,14483624,22367860,1908,274.23,14483624,GPA-1-3,exclusive,2026-09-07T14:36:36+08:00
rustyclean_xargs,4,2,8,4,0,171.80,947.54,28.23,976.75,0.7107,0.7100,83.82,3586388,0,0,1944,171.80,0,GPA-1-3,exclusive,2026-09-07T14:39:53+08:00
hostile,4,2,8,4,0,102.63,688.60,12.75,704.61,0.8582,0.8542,140.31,3602420,0,0,1928,102.63,0,GPA-1-3,exclusive,2026-09-07T14:41:53+08:00
rustyclean_batch_skipqc,4,2,8,4,0,111.26,787.34,29.69,817.75,0.9187,0.9179,129.43,3588348,14477940,26178764,1940,111.26,14477940,GPA-1-3,exclusive,2026-09-07T14:43:48+08:00
