tool,dataset,rep,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,timestamp
bowtie2,5M_5pct_low_even_SE,1,1403,2728088,439.65,101340,3307756,2026-09-09T17:25:59+08:00
kraken2,5M_5pct_low_even_SE,1,168,4900292,78.70,4892008,12754664,2026-09-09T17:28:59+08:00
minimap2,5M_5pct_low_even_SE,1,3535,11990140,162.15,11990344,22554536,2026-09-09T18:27:56+08:00
centrifuge,5M_5pct_low_even_SE,1,92,1514016,213.40,1515860,14302052,2026-09-09T18:29:34+08:00
