tool,dataset,rep,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,timestamp
bowtie2,5M_1pct_low_even_SE,1,2428,2356156,511.66,116000,2639148,2026-09-09T17:17:04+08:00
kraken2,5M_1pct_low_even_SE,1,150,4854272,86.88,4848340,12147296,2026-09-09T17:19:35+08:00
minimap2,5M_1pct_low_even_SE,1,3472,11885600,146.19,11888396,22032712,2026-09-09T18:17:31+08:00
centrifuge,5M_1pct_low_even_SE,1,102,1461196,287.68,1419176,11789560,2026-09-09T18:19:14+08:00
