tool,dataset,rep,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,timestamp
bowtie2,60M_99pct_med_lognormal_SE,1,2428,3553036,5753.77,137192,3975564,2026-09-09T18:53:14+08:00
kraken2,60M_99pct_med_lognormal_SE,1,597,7036540,949.20,7036164,14395624,2026-09-09T19:03:16+08:00
minimap2,60M_99pct_med_lognormal_SE,1,5345,13216884,8470.18,13217384,19112020,2026-09-09T20:32:22+08:00
centrifuge,60M_99pct_med_lognormal_SE,1,974,6900240,5251.04,6900204,9729732,2026-09-09T20:48:39+08:00
bowtie2,60M_99pct_med_lognormal_SE,1,23435,3459036,9157.32,148792,6078876,2026-09-09T20:51:27+08:00
kraken2,60M_99pct_med_lognormal_SE,1,1010,7038560,757.70,7038184,15366500,2026-09-09T21:08:19+08:00
minimap2,60M_99pct_med_lognormal_SE,1,1381,13204636,6282.39,13207216,42699736,2026-09-09T21:31:21+08:00
centrifuge,60M_99pct_med_lognormal_SE,1,722,6901524,3965.01,6900224,41891800,2026-09-09T21:43:25+08:00
