tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_10pct_med_even_SE,1,1844,2961956,2026-09-03T12:03:55+08:00
kraken2,10M_10pct_med_even_SE,1,369,4924076,2026-09-03T12:10:04+08:00
minimap2,10M_10pct_med_even_SE,1,1925,12351472,2026-09-03T12:42:10+08:00
centrifuge,10M_10pct_med_even_SE,1,FAILED,,2026-09-03T12:42:11+08:00
bowtie2,10M_10pct_med_even_SE,1,510,2960372,2026-09-04T00:54:20+08:00
kraken2,10M_10pct_med_even_SE,1,222,4958832,2026-09-04T00:58:03+08:00
minimap2,10M_10pct_med_even_SE,1,1083,12346128,2026-09-04T01:16:08+08:00
centrifuge,10M_10pct_med_even_SE,1,209,1804668,2026-09-04T01:19:38+08:00
