tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,1,0.00,0,2026-09-04T22:03:38+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,1,8909.00,16311004,2026-09-04T23:08:47+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,2,0.00,0,2026-09-05T00:11:53+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,2,8578.00,16285036,2026-09-05T01:31:47+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,3,0.00,0,2026-09-05T02:18:44+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,3,8576.00,16211364,2026-09-05T03:54:44+08:00
