tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,1,0.00,0,2026-09-04T21:53:30+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,1,5492.00,16297356,2026-09-04T22:06:45+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,2,9154.00,16310428,2026-09-05T00:39:20+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,2,9154.00,16310428,2026-09-05T00:42:10+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,3,7817.00,16273588,2026-09-05T02:52:28+08:00
