tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_k2_mixed,30M_50pct_high_skewed_SE,2,1646.36,16262788,2026-09-04T20:32:38+08:00
rustyclean_k2_mixed,30M_50pct_high_skewed_SE,3,1640.41,16282432,2026-09-04T21:00:14+08:00
rustyclean_k2_mixed,30M_50pct_high_skewed_SE,1,2201.75,16267308,2026-09-04T21:01:57+08:00
rustyclean_k2_mixed,30M_50pct_high_skewed_SE,2,2123.84,16281952,2026-09-04T21:37:22+08:00
rustyclean_k2_mixed,30M_50pct_high_skewed_SE,3,2184.97,16251220,2026-09-04T22:13:47+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,1,0.00,0,2026-09-04T21:53:30+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,1,5492.00,16297356,2026-09-04T22:06:45+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,2,9154.00,16310428,2026-09-05T00:39:20+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,2,9154.00,16310428,2026-09-05T00:42:10+08:00
rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,3,7817.00,16273588,2026-09-05T02:52:28+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,1,0.00,0,2026-09-04T22:03:38+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,1,8909.00,16311004,2026-09-04T23:08:47+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,2,0.00,0,2026-09-05T00:11:53+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,2,8578.00,16285036,2026-09-05T01:31:47+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,3,0.00,0,2026-09-05T02:18:44+08:00
rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,3,8576.00,16211364,2026-09-05T03:54:44+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,1,0.00,0,2026-09-04T21:53:22+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,1,6221.00,16310632,2026-09-04T22:24:52+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,2,5731.00,16302492,2026-09-05T00:00:25+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,2,5731.00,16302492,2026-09-05T00:08:43+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,3,9670.00,16368236,2026-09-05T02:49:54+08:00
rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,1,16406.00,17863512,2026-09-05T01:15:38+08:00
rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,1,16406.00,17863512,2026-09-05T02:12:47+08:00
rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,2,0.00,0,2026-09-05T05:20:47+08:00
rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,2,20772.00,17861752,2026-09-05T07:59:02+08:00
rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,3,0.00,0,2026-09-05T09:21:02+08:00
rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,3,21667.00,17861628,2026-09-05T14:00:12+08:00
