tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,1,0.00,0,2026-09-04T21:53:22+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,1,6221.00,16310632,2026-09-04T22:24:52+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,2,5731.00,16302492,2026-09-05T00:00:25+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,2,5731.00,16302492,2026-09-05T00:08:43+08:00
rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,3,9670.00,16368236,2026-09-05T02:49:54+08:00
