dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
100M_50pct_high_lognormal_SE,1,rustyclean_auto_sylph,0.996373,0.996157,0.996724,0.996441,49198239,189791,47360658,161685
100M_50pct_high_lognormal_SE,2,rustyclean_auto_sylph,0.996373,0.996157,0.996724,0.996441,49198239,189791,47360658,161685
100M_50pct_high_lognormal_SE,3,rustyclean_auto_sylph,0.996373,0.996157,0.996724,0.996441,49198239,189791,47360658,161685
100M_50pct_high_lognormal_SE,1,kneaddata,0.987133,0.997548,0.977139,0.987238,48231530,118562,47431887,1128394
100M_50pct_high_lognormal_SE,1,hostile,0.998929,0.998332,0.999568,0.998949,49338577,82454,47467995,21347
100M_90pct_high_lognormal_SE,1,rustyclean_auto_sylph,0.996075,0.966354,0.996745,0.981314,9839444,342584,85242546,32129
100M_90pct_high_lognormal_SE,2,rustyclean_auto_sylph,0.996075,0.966354,0.996745,0.981314,9839444,342584,85242546,32129
100M_90pct_high_lognormal_SE,3,rustyclean_auto_sylph,0.996075,0.966354,0.996745,0.981314,9839444,342584,85242546,32129
100M_90pct_high_lognormal_SE,1,kneaddata,0.995401,0.978331,0.977174,0.977752,9646240,213659,85371471,225333
100M_90pct_high_lognormal_SE,1,hostile,0.998396,0.985130,0.999576,0.992301,9867391,148942,85436188,4182
