dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
5M_5pct_low_even_SE,rustyclean_auto_skipqc,92.79,3587088,,565.56,3589544,3625600,319365852,bowtie2,4.95,2026-09-09T17:04:08+08:00
5M_5pct_low_even_SE,hostile_raw,226.40,2898356,,1096.84,138996,822556,319348035,bowtie2,NA,2026-09-09T17:07:54+08:00
