dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
30M_70pct_med_lognormal_SE,rustyclean_auto_skipqc,513.14,5041296,512.53,5043056,8484408,879845502,kraken2,68.12,2026-09-09T17:38:22+08:00
30M_70pct_med_lognormal_SE,hostile_raw,430.85,3635332,2380.63,154236,5093744,630217582,bowtie2,NA,2026-09-09T17:45:34+08:00
