dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
10M_10pct_med_even_SE,rustyclean_auto_skipqc,200.83,3588388,,1228.01,3591388,3780076,598881819,bowtie2,9.88,2026-09-09T17:12:00+08:00
10M_10pct_med_even_SE,hostile_raw,2232.27,3254692,,994.63,173420,3220296,599638309,bowtie2,NA,2026-09-09T17:49:13+08:00
