dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
30M_50pct_high_skewed_SE,rustyclean_auto_skipqc,507.86,5024084,,490.81,5020736,13214736,1437862375,kraken2,48.93,2026-09-09T17:38:20+08:00
30M_50pct_high_skewed_SE,hostile_raw,511.75,3637128,,2787.53,159448,10470684,999810494,bowtie2,NA,2026-09-09T17:46:52+08:00
