dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
60M_99pct_med_lognormal_SE,rustyclean_auto_skipqc,1011.98,7037220,,1354.83,7035880,19046388,99561620,kraken2,97.10,2026-09-09T17:56:34+08:00
60M_99pct_med_lognormal_SE,hostile_raw,59130,3598600,,5608.67,188980,12234352,78016529,bowtie2,NA,2026-09-10T10:22:14+08:00
