dataset,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
5M_1pct_low_even_SE,rustyclean_auto_skipqc,0.010000,0.000000,0.000000,0.000000,0,0,50000,4950000
5M_1pct_low_even_SE,hostile_raw,0.010000,0.000000,0.000000,0.000000,0,0,50000,4950000
5M_1pct_low_even_SE,rustyclean_auto,0.010000,0.000000,0.000000,0.000000,0,0,50000,4950000
5M_1pct_low_even_SE,kneaddata,0.010000,0.000000,0.000000,0.000000,0,0,50000,4950000
10M_10pct_med_even_SE,rustyclean_auto_skipqc,0.100000,0.000000,0.000000,0.000000,0,0,1000000,9000000
10M_10pct_med_even_SE,hostile_raw,0.100000,0.000000,0.000000,0.000000,0,0,1000000,9000000
10M_10pct_med_even_SE,rustyclean_auto,0.100000,0.000000,0.000000,0.000000,0,0,1000000,9000000
10M_10pct_med_even_SE,kneaddata,0.100000,0.000000,0.000000,0.000000,0,0,1000000,9000000
30M_50pct_high_skewed_SE,rustyclean_auto_skipqc,0.500001,0.000000,0.000000,0.000000,0,0,15000000,14999969
30M_50pct_high_skewed_SE,hostile_raw,0.500001,0.000000,0.000000,0.000000,0,0,15000000,14999969
30M_50pct_high_skewed_SE,rustyclean_auto,0.500001,0.000000,0.000000,0.000000,0,0,15000000,14999969
30M_50pct_high_skewed_SE,kneaddata,0.500001,0.000000,0.000000,0.000000,0,0,15000000,14999969
60M_90pct_high_lognormal_SE,rustyclean_auto_skipqc,0.900001,0.000000,0.000000,0.000000,0,0,54000000,5999955
60M_90pct_high_lognormal_SE,hostile_raw,0.900001,0.000000,0.000000,0.000000,0,0,54000000,5999955
60M_90pct_high_lognormal_SE,rustyclean_auto,0.900001,0.000000,0.000000,0.000000,0,0,54000000,5999955
60M_90pct_high_lognormal_SE,kneaddata,0.900001,0.000000,0.000000,0.000000,0,0,54000000,5999955
