dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
60M_90pct_high_lognormal_SE,rustyclean_auto,1007.25,7040388,1533.15,7038108,22142432,577214717,kraken2,89.68,2026-09-09T17:06:21+08:00
60M_90pct_high_lognormal_SE,kneaddata,6304,1156940,44882.42,3884992,58333980,2020788774,bowtie2,NA,2026-09-09T18:51:27+08:00
