dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
5M_1pct_low_even_SE,rustyclean_auto,206.41,3585100,543.30,3588676,7858564,323751809,bowtie2,0.98,2026-09-09T16:40:02+08:00
5M_1pct_low_even_SE,kneaddata,594.19,1149268,937.79,3726812,12169628,1639293875,bowtie2,NA,2026-09-09T16:50:02+08:00
