dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
30M_70pct_med_lognormal_SE,rustyclean_auto,560.48,5060772,897.85,5046236,15367432,867311062,kraken2,69.23,2026-09-09T16:54:06+08:00
30M_70pct_med_lognormal_SE,kneaddata,3701,1152792,18121.23,3835308,32296864,3011802119,bowtie2,NA,2026-09-09T17:55:48+08:00
