dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
10M_10pct_med_even_SE,rustyclean_auto,25929,3587964,28032.67,3593848,7635136,582120860,bowtie2,9.87,2026-09-09T23:54:44+08:00
10M_10pct_med_even_SE,kneaddata,545.61,1147272,2569.98,3797456,20541856,2986546283,bowtie2,NA,2026-09-10T00:03:50+08:00
