dataset,tool,runtime_seconds,max_memory_kb,cgroup_cpu_seconds,cgroup_anon_kb,cgroup_current_kb,output_size_bytes,backend,estimated_host_pct,timestamp
30M_90pct_med_lognormal_SE,rustyclean_auto,495.26,5039088,721.87,5029764,12855792,302592957,kraken2,89.16,2026-09-09T16:52:59+08:00
30M_90pct_med_lognormal_SE,kneaddata,3605,1150108,17339.28,3834952,28471736,1033549535,bowtie2,NA,2026-09-09T17:53:06+08:00
