tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_auto_kraken_skipqc,100M_50pct_high_lognormal_SE,1,1373,16296700,2026-08-19T22:54:38+08:00
rustyclean_auto_kraken_skipqc,100M_50pct_high_lognormal_SE,2,1265,16295108,2026-08-19T23:15:44+08:00
rustyclean_auto_kraken_skipqc,100M_50pct_high_lognormal_SE,3,1263,16384080,2026-08-19T23:36:47+08:00
rustyclean_auto_kraken_skipqc,100M_90pct_high_lognormal_SE,1,1163,16252488,2026-08-19T22:51:09+08:00
rustyclean_auto_kraken_skipqc,100M_90pct_high_lognormal_SE,2,1054,16189776,2026-08-19T23:08:44+08:00
rustyclean_auto_kraken_skipqc,100M_90pct_high_lognormal_SE,3,1215,16262520,2026-08-19T23:28:59+08:00
hostile,100M_50pct_high_lognormal_SE,1,1668,3770052,2026-08-13T01:28:43+08:00
hostile,100M_90pct_high_lognormal_SE,1,1348,3774940,2026-08-13T01:23:24+08:00
