arm,workers,threads,cpus,n_samples,n_failed,wall_seconds,user_seconds,sys_seconds,cgroup_cpu_seconds,cpu_efficiency,cpu_efficiency_gnutime,samples_per_hour,peak_rss_kb,peak_anon_kb,peak_cgroup_kb,baseline_anon_kb,runtime_seconds,max_memory_kb,node,node_state,timestamp
kneaddata,1,16,16,120,0,5456.00,2267.12,225.49,48718.53,0.5581,0.0286,79.18,1149784,3886272,56707024,1880,5456.00,3886272,GPA-1-22,exclusive,2026-09-08T20:04:06+08:00
rustyclean_batch,1,16,16,120,0,6757.00,15979.88,673.84,16682.93,0.1543,0.1540,63.93,3590520,3672624,32466896,1912,6757.00,3672624,GPA-1-22,exclusive,2026-09-08T21:56:57+08:00
rustyclean_xargs,1,16,16,120,0,7048.00,15888.02,671.77,16591.68,0.1471,0.1468,61.29,3592964,3632980,27351376,1928,7048.00,3632980,GPA-1-22,exclusive,2026-09-08T23:56:34+08:00
hostile,1,16,16,120,0,1360.82,12978.31,190.23,13246.55,0.6084,0.6048,317.46,3743608,224364,24543028,1916,1360.82,224364,GPA-1-22,exclusive,2026-09-09T00:21:00+08:00
rustyclean_batch_skipqc,1,16,16,120,0,1673.03,10758.04,591.61,11357.10,0.4243,0.4240,258.21,3590812,3705708,30471260,1920,1673.03,3705708,GPA-1-22,exclusive,2026-09-09T00:50:33+08:00
