arm,workers,threads,cpus,n_samples,n_failed,wall_seconds,user_seconds,sys_seconds,cgroup_cpu_seconds,cpu_efficiency,cpu_efficiency_gnutime,samples_per_hour,peak_rss_kb,peak_anon_kb,peak_cgroup_kb,baseline_anon_kb,runtime_seconds,max_memory_kb,node,node_state,timestamp
kneaddata,4,4,16,120,0,3716.00,2391.61,400.06,53258.82,0.8958,0.0470,116.25,1144776,14501476,70917816,1884,3716.00,14501476,GPA-1-21,exclusive,2026-09-08T19:15:54+08:00
rustyclean_batch,4,4,16,120,0,2076.72,17102.48,640.31,17768.66,0.5348,0.5340,208.02,3590848,14495056,43055060,1908,2076.72,14495056,GPA-1-21,exclusive,2026-09-08T19:50:58+08:00
rustyclean_xargs,4,4,16,120,0,2291.31,16967.75,652.06,17649.06,0.4814,0.4806,188.54,3591224,14504516,40535400,1940,2291.31,14504516,GPA-1-21,exclusive,2026-09-08T20:33:17+08:00
hostile,4,4,16,120,0,872.99,10995.03,327.84,11463.05,0.8207,0.8106,494.85,3672388,513504,33142796,1928,872.99,513504,GPA-1-21,exclusive,2026-09-08T20:51:57+08:00
rustyclean_batch_skipqc,4,4,16,120,0,900.17,11216.12,584.77,11812.29,0.8201,0.8194,479.91,3592472,14579924,46247892,1936,900.17,14579924,GPA-1-21,exclusive,2026-09-08T21:11:25+08:00
