arm,workers,threads,cpus,n_samples,n_failed,wall_seconds,user_seconds,sys_seconds,cgroup_cpu_seconds,cpu_efficiency,cpu_efficiency_gnutime,samples_per_hour,peak_rss_kb,peak_anon_kb,peak_cgroup_kb,baseline_anon_kb,runtime_seconds,max_memory_kb,node,node_state,timestamp
kneaddata,16,1,16,120,0,5259.00,1842.77,171.47,80365.14,0.9551,0.0239,82.14,526276,56906092,94615948,1880,5259.00,56906092,GPA-1-17,exclusive,2026-09-09T02:02:18+08:00
rustyclean_batch,16,1,16,120,0,1640.01,25025.26,505.01,25537.42,0.9732,0.9729,263.41,3591440,57669972,67227816,1912,1640.01,57669972,GPA-1-17,exclusive,2026-09-09T02:30:15+08:00
rustyclean_xargs,16,1,16,120,0,1526.55,23467.82,461.45,23936.27,0.9800,0.9797,282.99,3592844,32069896,48769948,1928,1526.55,32069896,GPA-1-17,exclusive,2026-09-09T02:57:25+08:00
hostile,16,1,16,120,0,1173.99,18065.32,131.20,18270.30,0.9727,0.9687,367.98,3636796,1255520,34485960,1912,1173.99,1255520,GPA-1-17,exclusive,2026-09-09T03:18:40+08:00
rustyclean_batch_skipqc,16,1,16,120,0,2281.47,35345.18,497.35,35852.20,0.9822,0.9819,189.35,3591204,50974988,69152160,1932,2281.47,50974988,GPA-1-17,exclusive,2026-09-09T03:58:21+08:00
