sample_id	retained_reads	id_digest
h90_r15	111704	
h90_r19	105200	
h90_r18	110981	
h90_r20	112561	
h01_r10	985092	
h01_r16	982869	
h70_r05	298765	
h01_r15	979935	
h90_r10	108178	
h90_r07	104448	
h01_r11	984000	
h70_r15	298900	
h70_r17	299292	
h01_r05	980700	
h05_r07	945349	
h05_r05	943152	
h10_r18	888166	
h50_r10	498888	
h05_r13	946366	
h10_r03	884909	
h10_r13	895828	
h01_r09	981590	
h10_r02	896142	
h05_r16	945662	
h50_r01	497468	
h90_r14	104597	
h10_r06	888693	
h10_r09	894494	
h90_r11	110624	
h05_r02	941201	
h50_r04	497599	
h05_r18	937340	
h70_r06	297739	
h50_r03	490547	
h50_r08	498412	
h10_r14	895768	
h90_r13	108881	
h70_r07	301536	
h05_r11	942849	
h70_r11	298597	
h05_r12	945040	
h70_r04	299629	
h10_r11	896349	
h01_r19	982628	
h90_r16	103733	
h10_r05	894291	
h01_r17	985324	
h05_r04	945296	
h01_r07	985007	
h90_r01	111566	
h90_r04	105738	
h50_r09	498430	
h50_r18	495412	
h01_r20	984194	
h70_r12	299135	
h05_r08	942378	
h70_r13	299383	
h10_r07	894814	
h70_r08	299687	
h05_r19	945743	
h01_r14	983146	
h10_r04	895805	
h01_r01	981354	
h01_r12	984379	
h10_r15	895764	
h50_r11	498571	
h70_r16	304254	
h01_r03	984966	
h50_r12	498596	
h70_r01	299736	
h70_r18	299289	
h50_r15	498580	
h90_r06	108590	
h01_r06	980910	
h50_r07	496945	
h50_r14	497673	
h01_r13	985154	
h05_r14	946384	
h50_r05	497520	
h05_r20	944705	
h10_r12	895235	
h10_r10	896124	
h10_r20	895363	
h70_r20	296585	
h10_r16	892157	
h05_r01	943611	
h05_r09	942479	
h50_r17	499371	
h90_r02	110163	
h50_r02	498045	
h90_r12	108459	
h10_r08	895020	
h70_r03	295644	
h70_r19	299716	
h05_r15	945733	
h70_r09	309506	
h70_r14	299029	
h05_r10	945985	
h70_r10	300731	
h90_r17	110804	
h50_r06	495734	
h05_r06	939681	
h50_r19	498378	
h10_r17	895424	
h70_r02	299799	
h90_r03	104326	
h05_r03	943432	
h90_r08	105799	
h01_r18	979906	
h01_r08	982008	
h90_r05	112772	
h50_r16	497852	
h50_r20	496889	
h01_r04	980638	
h50_r13	500245	
h90_r09	103168	
h10_r01	892584	
h05_r17	943856	
h01_r02	965442	
h10_r19	896178	
