arm,workers,threads,cpus,n_samples,n_failed,wall_seconds,user_seconds,sys_seconds,cgroup_cpu_seconds,cpu_efficiency,cpu_efficiency_gnutime,samples_per_hour,peak_rss_kb,peak_anon_kb,peak_cgroup_kb,baseline_anon_kb,runtime_seconds,max_memory_kb,node,node_state,timestamp
kneaddata,2,8,16,120,0,4123.00,2189.41,196.86,48456.63,0.7345,0.0362,104.78,1147668,7454224,62273932,1888,4123.00,7454224,GPA-1-7,exclusive,2026-09-08T20:19:29+08:00
rustyclean_batch,2,8,16,120,0,3579.39,14358.82,492.10,14866.11,0.2596,0.2593,120.69,3590840,7293520,37007632,1936,3579.39,7293520,GPA-1-7,exclusive,2026-09-08T21:19:23+08:00
rustyclean_xargs,2,8,16,120,0,3589.62,14147.70,499.30,14663.38,0.2553,0.2550,120.35,3591708,7256508,40145720,1936,3589.62,7256508,GPA-1-7,exclusive,2026-09-08T22:21:03+08:00
hostile,2,8,16,120,0,629.28,7381.18,169.06,7627.35,0.7575,0.7499,686.50,3689784,332028,31652808,1932,629.28,332028,GPA-1-7,exclusive,2026-09-08T22:33:19+08:00
rustyclean_batch_skipqc,2,8,16,120,0,1040.35,9440.78,455.05,9900.54,0.5948,0.5945,415.24,3590452,7327888,39047460,1936,1040.35,7327888,GPA-1-7,exclusive,2026-09-08T22:52:19+08:00
