sample_id	retained_reads	id_digest
h90_r15	128133	
h90_r19	117208	
h90_r18	123198	
h90_r20	124334	
h01_r10	990240	
h01_r16	990109	
h70_r05	305682	
h01_r15	990136	
h90_r10	121278	
h90_r07	125602	
h01_r11	990204	
h70_r15	304156	
h70_r17	303889	
h01_r05	990058	
h05_r07	950228	
h05_r05	950142	
h10_r18	905859	
h50_r10	518264	
h05_r13	950173	
h10_r03	904367	
h10_r13	903132	
h01_r09	990127	
h10_r02	903765	
h05_r16	950185	
h50_r01	513953	
h90_r14	128222	
h10_r06	903634	
h10_r09	904221	
h90_r11	122466	
h05_r02	950213	
h50_r04	519893	
h05_r18	950071	
h70_r06	303554	
h50_r03	515266	
h50_r08	528914	
h10_r14	902819	
h90_r13	124354	
h70_r07	305074	
h05_r11	950114	
h70_r11	305352	
h05_r12	950389	
h70_r04	305050	
h10_r11	901743	
h01_r19	990108	
h90_r16	126427	
h10_r05	907497	
h01_r17	990033	
h05_r04	950069	
h01_r07	990105	
h90_r01	119723	
h90_r04	117098	
h50_r09	531119	
h50_r18	525896	
h01_r20	990163	
h70_r12	306890	
h05_r08	950115	
h70_r13	307235	
h10_r07	903834	
h70_r08	311045	
h05_r19	950137	
h01_r14	990057	
h10_r04	902029	
h01_r01	990215	
h01_r12	990031	
h10_r15	903166	
h50_r11	514053	
h70_r16	307884	
h01_r03	990183	
h50_r12	518227	
h70_r01	306569	
h70_r18	316237	
h50_r15	510354	
h90_r06	112410	
h01_r06	990119	
h50_r07	511820	
h50_r14	511757	
h01_r13	990048	
h05_r14	950158	
h50_r05	526202	
h05_r20	950217	
h10_r12	904423	
h10_r10	903911	
h10_r20	904377	
h70_r20	304253	
h10_r16	903401	
h05_r01	950095	
h05_r09	950197	
h50_r17	518815	
h90_r02	114948	
h50_r02	524196	
h90_r12	121423	
h10_r08	901852	
h70_r03	305942	
h70_r19	304037	
h05_r15	950091	
h70_r09	308390	
h70_r14	304030	
h05_r10	950120	
h70_r10	311644	
h90_r17	125671	
h50_r06	515653	
h05_r06	950189	
h50_r19	511087	
h10_r17	902832	
h70_r02	306369	
h90_r03	116668	
h05_r03	950226	
h90_r08	117317	
h01_r18	990069	
h01_r08	990047	
h90_r05	118868	
h50_r16	512657	
h50_r20	508462	
h01_r04	990268	
h50_r13	521386	
h90_r09	119336	
h10_r01	904989	
h05_r17	950171	
h01_r02	990069	
h10_r19	904098	
