sample_id	retained_reads	id_digest
h90_r15	124918	
h90_r19	114501	
h90_r18	120136	
h90_r20	121443	
h01_r10	990187	
h01_r16	990020	
h70_r05	303561	
h01_r15	990019	
h90_r10	122819	
h90_r07	121566	
h01_r11	990138	
h70_r15	302964	
h70_r17	302195	
h01_r05	990019	
h05_r07	950044	
h05_r05	950017	
h10_r18	905584	
h50_r10	517250	
h05_r13	950128	
h10_r03	904196	
h10_r13	902948	
h01_r09	990061	
h10_r02	903508	
h05_r16	950108	
h50_r01	512106	
h90_r14	125362	
h10_r06	903467	
h10_r09	904047	
h90_r11	119887	
h05_r02	950093	
h50_r04	518682	
h05_r18	949897	
h70_r06	301892	
h50_r03	514224	
h50_r08	526581	
h10_r14	902522	
h90_r13	121533	
h70_r07	303298	
h05_r11	949887	
h70_r11	303911	
h05_r12	950350	
h70_r04	303573	
h10_r11	901609	
h01_r19	990016	
h90_r16	123261	
h10_r05	907278	
h01_r17	990014	
h05_r04	949933	
h01_r07	990028	
h90_r01	116698	
h90_r04	114369	
h50_r09	529236	
h50_r18	524857	
h01_r20	989990	
h70_r12	304393	
h05_r08	950012	
h70_r13	304869	
h10_r07	903628	
h70_r08	305144	
h05_r19	949969	
h01_r14	990026	
h10_r04	901851	
h01_r01	990114	
h01_r12	989971	
h10_r15	903005	
h50_r11	512821	
h70_r16	305580	
h01_r03	990164	
h50_r12	516388	
h70_r01	304313	
h70_r18	305972	
h50_r15	509201	
h90_r06	109619	
h01_r06	990054	
h50_r07	510602	
h50_r14	509420	
h01_r13	990008	
h05_r14	949975	
h50_r05	525404	
h05_r20	950056	
h10_r12	904221	
h10_r10	903761	
h10_r20	904022	
h70_r20	302409	
h10_r16	903151	
h05_r01	949971	
h05_r09	949862	
h50_r17	517943	
h90_r02	111860	
h50_r02	521886	
h90_r12	118761	
h10_r08	901645	
h70_r03	304294	
h70_r19	302449	
h05_r15	949947	
h70_r09	306964	
h70_r14	302494	
h05_r10	950000	
h70_r10	308471	
h90_r17	123443	
h50_r06	514414	
h05_r06	950112	
h50_r19	508995	
h10_r17	902539	
h70_r02	304204	
h90_r03	113592	
h05_r03	950145	
h90_r08	114552	
h01_r18	989960	
h01_r08	990030	
h90_r05	115906	
h50_r16	511277	
h50_r20	505617	
h01_r04	990176	
h50_r13	520289	
h90_r09	116389	
h10_r01	904650	
h05_r17	950073	
h01_r02	990063	
h10_r19	903829	
