sample_id	retained_reads	id_digest
h90_r15	108272	
h90_r19	104964	
h90_r18	104733	
h90_r20	105257	
h01_r10	989867	
h01_r16	989748	
h70_r05	301920	
h01_r15	989731	
h90_r10	109716	
h90_r07	106356	
h01_r11	989352	
h70_r15	300643	
h70_r17	301270	
h01_r05	987422	
h05_r07	949967	
h05_r05	948238	
h10_r18	900048	
h50_r10	500979	
h05_r13	950008	
h10_r03	899539	
h10_r13	899947	
h01_r09	989883	
h10_r02	899934	
h05_r16	949866	
h50_r01	499887	
h90_r14	105041	
h10_r06	899926	
h10_r09	899634	
h90_r11	104454	
h05_r02	947671	
h50_r04	499906	
h05_r18	949881	
h70_r06	301062	
h50_r03	499975	
h50_r08	500217	
h10_r14	900294	
h90_r13	103819	
h70_r07	301920	
h05_r11	949827	
h70_r11	301412	
h05_r12	949689	
h70_r04	301389	
h10_r11	900020	
h01_r19	989744	
h90_r16	105937	
h10_r05	899854	
h01_r17	989987	
h05_r04	949883	
h01_r07	989942	
h90_r01	106533	
h90_r04	104088	
h50_r09	500437	
h50_r18	500731	
h01_r20	989791	
h70_r12	302441	
h05_r08	949544	
h70_r13	301531	
h10_r07	899711	
h70_r08	301106	
h05_r19	949898	
h01_r14	989798	
h10_r04	899943	
h01_r01	989742	
h01_r12	989875	
h10_r15	899968	
h50_r11	500157	
h70_r16	302543	
h01_r03	990004	
h50_r12	500930	
h70_r01	302019	
h70_r18	302704	
h50_r15	500302	
h90_r06	104034	
h01_r06	986755	
h50_r07	500788	
h50_r14	500897	
h01_r13	989962	
h05_r14	949957	
h50_r05	499951	
h05_r20	949904	
h10_r12	899912	
h10_r10	900075	
h10_r20	899605	
h70_r20	301716	
h10_r16	899874	
h05_r01	949746	
h05_r09	949836	
h50_r17	500124	
h90_r02	104698	
h50_r02	500215	
h90_r12	104046	
h10_r08	899700	
h70_r03	301482	
h70_r19	301463	
h05_r15	949861	
h70_r09	301155	
h70_r14	301421	
h05_r10	949980	
h70_r10	303036	
h90_r17	103594	
h50_r06	500820	
h05_r06	949915	
h50_r19	500198	
h10_r17	900137	
h70_r02	302306	
h90_r03	104292	
h05_r03	949321	
h90_r08	105179	
h01_r18	989810	
h01_r08	988360	
h90_r05	106822	
h50_r16	500741	
h50_r20	499537	
h01_r04	989910	
h50_r13	499988	
h90_r09	105224	
h10_r01	900230	
h05_r17	949819	
h01_r02	976515	
h10_r19	899962	
