dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
30M_50pct_high_skewed_SE,1,rustyclean_baseline_k2_memmap,0.998221,0.997345,0.999101,0.998222,14986488,39892,14960108,13481
30M_50pct_high_skewed_SE,2,rustyclean_baseline_k2_memmap,0.998221,0.997345,0.999101,0.998222,14986488,39892,14960108,13481
30M_50pct_high_skewed_SE,3,rustyclean_baseline_k2_memmap,0.998221,0.997345,0.999101,0.998222,14986488,39892,14960108,13481
60M_90pct_high_lognormal_SE,1,rustyclean_baseline_k2_memmap,0.997651,0.977914,0.999078,0.988383,5994424,135380,53864620,5531
60M_90pct_high_lognormal_SE,2,rustyclean_baseline_k2_memmap,0.997651,0.977914,0.999078,0.988383,5994424,135380,53864620,5531
60M_90pct_high_lognormal_SE,3,rustyclean_baseline_k2_memmap,0.997651,0.977914,0.999078,0.988383,5994424,135380,53864620,5531
100M_50pct_high_lognormal_SE,1,rustyclean_baseline_k2_memmap,0.998384,0.997699,0.999073,0.998385,49953259,115225,49884775,46359
100M_50pct_high_lognormal_SE,2,rustyclean_baseline_k2_memmap,0.998384,0.997699,0.999073,0.998385,49953259,115225,49884775,46359
100M_50pct_high_lognormal_SE,3,rustyclean_baseline_k2_memmap,0.998384,0.997699,0.999073,0.998385,49953259,115225,49884775,46359
100M_90pct_high_lognormal_SE,1,rustyclean_baseline_k2_memmap,0.997246,0.974057,0.999066,0.986403,9990590,266084,89733916,9335
100M_90pct_high_lognormal_SE,2,rustyclean_baseline_k2_memmap,0.997246,0.974057,0.999066,0.986403,9990590,266084,89733916,9335
100M_90pct_high_lognormal_SE,3,rustyclean_baseline_k2_memmap,0.997246,0.974057,0.999066,0.986403,9990590,266084,89733916,9335
