tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_sylph_t2t_only,5M_1pct_low_even_SE,1,635.24,2336864,2026-08-15T13:26:24+08:00
rustyclean_sylph_t2t_only,5M_1pct_low_even_SE,2,36.44,2335412,2026-08-15T13:27:01+08:00
rustyclean_sylph_t2t_only,5M_1pct_low_even_SE,3,36.6,2323204,2026-08-15T13:27:37+08:00
rustyclean_sylph_t2t_only,10M_10pct_med_even_SE,1,203.56,3174028,2026-08-15T13:31:01+08:00
rustyclean_sylph_t2t_only,10M_10pct_med_even_SE,2,72.02,3185128,2026-08-15T13:32:13+08:00
rustyclean_sylph_t2t_only,10M_10pct_med_even_SE,3,71.75,3186648,2026-08-15T13:33:25+08:00
rustyclean_sylph_t2t_only,30M_50pct_high_skewed_SE,1,450.6,3627756,2026-08-15T13:40:56+08:00
rustyclean_sylph_t2t_only,30M_50pct_high_skewed_SE,2,283.43,3640816,2026-08-15T13:45:39+08:00
rustyclean_sylph_t2t_only,30M_50pct_high_skewed_SE,3,281.69,3638576,2026-08-15T13:50:21+08:00
rustyclean_sylph_t2t_only,60M_90pct_high_lognormal_SE,1,735.44,3686540,2026-08-15T14:02:36+08:00
rustyclean_sylph_t2t_only,60M_90pct_high_lognormal_SE,2,682.17,3659464,2026-08-15T14:13:58+08:00
rustyclean_sylph_t2t_only,60M_90pct_high_lognormal_SE,3,1122.11,3646652,2026-08-15T14:32:41+08:00
