dataset,host_pct,hostile_index_runtime,hostile_index_memory_gb,hostile_index_f1,t2t_only_runtime,t2t_only_memory_gb,t2t_only_f1
5M_1pct_low_even_SE,1,41.42,3.0141932169596353,0.999996,236.09333333333333,2.2238032023111978,0.999996
10M_10pct_med_even_SE,10,73.42333333333333,3.5191523234049478,0.997123,115.77666666666667,3.034529368082682,0.997258
30M_50pct_high_skewed_SE,50,277.13,3.5631103515625,0.999635,338.5733333333333,3.4672889709472656,0.999624
60M_90pct_high_lognormal_SE,90,654.7033333333334,3.5805536905924478,0.995857,846.5733333333333,3.494471232096354,0.99585
