name,elapsed_s,max_rss_kb,size_bytes
human_t2t,33.11,17196476,2531480555
monkey,52.35,17264940,2526772667
mouse,39.34,19619900,2203401579
pig,26.94,17471396,2203237107
rat,31.78,18868792,2254156123
rice,4.16,2993692,300256659
