mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_30pct_med_lognormal_SE,1,1798,3077536,2026-09-05T18:46:05+08:00
kraken2,10M_30pct_med_lognormal_SE,1,270,4987652,2026-09-05T18:50:37+08:00
