mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_10pct_med_even_SE,1,3181,2971836,2026-09-05T19:09:05+08:00
kraken2,10M_10pct_med_even_SE,1,209,4929752,2026-09-05T19:12:35+08:00
