mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_100pct_med_lognormal_SE,1,3681,3241648,2026-09-05T19:17:28+08:00
kraken2,10M_100pct_med_lognormal_SE,1,163,4964624,2026-09-05T19:20:12+08:00
