mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_5pct_med_lognormal_SE,1,3124,2847208,2026-09-05T19:08:08+08:00
kraken2,10M_5pct_med_lognormal_SE,1,299,4971096,2026-09-05T19:13:13+08:00
