mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_0pct_med_lognormal_SE,1,256,1040624,2026-09-05T18:20:20+08:00
kraken2,10M_0pct_med_lognormal_SE,1,303,4941120,2026-09-05T18:25:23+08:00
