mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_1pct_med_lognormal_SE,1,1379,2480940,2026-09-05T18:39:02+08:00
kraken2,10M_1pct_med_lognormal_SE,1,255,4934028,2026-09-05T18:43:22+08:00
