tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_bt2recheck,30M_50pct_high_skewed_SE,1,1042.03,5056480,2026-09-03T11:50:47+08:00
rustyclean_bt2recheck,30M_50pct_high_skewed_SE,2,835.02,5069828,2026-09-03T12:04:42+08:00
rustyclean_bt2recheck,30M_50pct_high_skewed_SE,3,640.09,5074820,2026-09-03T12:15:23+08:00
rustyclean_bt2recheck,60M_90pct_high_lognormal_SE,1,1057.44,7266900,2026-09-03T11:51:22+08:00
rustyclean_bt2recheck,60M_90pct_high_lognormal_SE,2,1015.89,7266976,2026-09-03T12:08:18+08:00
rustyclean_bt2recheck,60M_90pct_high_lognormal_SE,3,924.43,7265016,2026-09-03T12:23:42+08:00
rustyclean_bt2recheck,60M_99pct_med_lognormal_SE,1,1458.77,7042312,2026-09-03T11:57:44+08:00
rustyclean_bt2recheck,60M_99pct_med_lognormal_SE,2,1575.18,6983120,2026-09-03T12:23:59+08:00
rustyclean_bt2recheck,60M_99pct_med_lognormal_SE,3,990.25,7042216,2026-09-03T12:40:30+08:00
rustyclean_bt2recheck,100M_50pct_high_lognormal_SE,1,2197.80,12154772,2026-09-03T12:10:03+08:00
rustyclean_bt2recheck,100M_50pct_high_lognormal_SE,2,2074.72,12157464,2026-09-03T12:44:39+08:00
rustyclean_bt2recheck,100M_50pct_high_lognormal_SE,3,2247.43,12155432,2026-09-03T13:22:06+08:00
rustyclean_bt2recheck,100M_90pct_high_lognormal_SE,1,1728.57,13289976,2026-09-03T12:02:32+08:00
rustyclean_bt2recheck,100M_90pct_high_lognormal_SE,2,1582.36,13287864,2026-09-03T12:28:55+08:00
rustyclean_bt2recheck,100M_90pct_high_lognormal_SE,3,1621.18,13289784,2026-09-03T12:55:57+08:00
