dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
30M_50pct_high_skewed_SE,1,rustyclean_bt2recheck,0.998213,0.997285,0.999146,0.998215,14987157,40794,14959206,12812
30M_50pct_high_skewed_SE,2,rustyclean_bt2recheck,0.998213,0.997285,0.999146,0.998215,14987157,40794,14959206,12812
30M_50pct_high_skewed_SE,3,rustyclean_bt2recheck,0.998213,0.997285,0.999146,0.998215,14987157,40794,14959206,12812
60M_90pct_high_lognormal_SE,1,rustyclean_bt2recheck,0.997623,0.977606,0.999118,0.988245,5994663,137322,53862678,5292
60M_90pct_high_lognormal_SE,2,rustyclean_bt2recheck,0.997623,0.977606,0.999118,0.988245,5994663,137322,53862678,5292
60M_90pct_high_lognormal_SE,3,rustyclean_bt2recheck,0.997623,0.977606,0.999118,0.988245,5994663,137322,53862678,5292
100M_50pct_high_lognormal_SE,1,rustyclean_bt2recheck,0.998382,0.997657,0.999110,0.998383,49955117,117296,49882704,44501
100M_50pct_high_lognormal_SE,2,rustyclean_bt2recheck,0.998382,0.997657,0.999110,0.998383,49955117,117296,49882704,44501
100M_50pct_high_lognormal_SE,3,rustyclean_bt2recheck,0.998382,0.997657,0.999110,0.998383,49955117,117296,49882704,44501
100M_90pct_high_lognormal_SE,1,rustyclean_bt2recheck,0.997201,0.973600,0.999105,0.986188,9990976,270915,89729085,8949
100M_90pct_high_lognormal_SE,2,rustyclean_bt2recheck,0.997201,0.973600,0.999105,0.986188,9990976,270915,89729085,8949
100M_90pct_high_lognormal_SE,3,rustyclean_bt2recheck,0.997201,0.973600,0.999105,0.986188,9990976,270915,89729085,8949
